name,address,class,longitude,latitude
The Burger Barn Cafe,"Shop No. 5, Sanas Corner, Lane No. 5, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.896888,18.533181
Avees Restaurant,"Shop No 6 Swaroop Complex, Karve Road, Erandawane, Pune, Maharashtra 411004",Restaurants,73.8351179,18.5106417
Picantos Mexican Grill,"First Floor, Darpan Apartment, DP Road, Opp. Bank of Maharashtra, Aundh, Pune, Maharashtra 411027",Restaurants,73.812438,18.560841
M M Restaurant,"Khadki Aundh Road, Range Hills, Pune, Maharashtra 411020",Restaurants,73.836499,18.5618269
Madinah Restaurant,"NIBM Road, Near Kausar Baug Masjid, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048",Restaurants,73.8934529,18.4721806
Zora,"Ishanya Mall Rd, Maharashtra Housing Board, Shastrinagar, Yerawada, Pune, Maharashtra 411006",Restaurants,73.8950217,18.5562701
Kimaya Veg Restaurant,"127, Maharshi Karve Rd, Jhala Co-Op Housing Society, Kothrud, Pune, Maharashtra 411038",Restaurants,73.8220991,18.504879
Spring Onion Pune,"Shop No-4B, Ground Floor, Millennium Tower, Bhandarkar Road, Deccan Gymkhana, Pune, Maharashtra 411004",Restaurants,73.838205,18.518082
Mexican Rodeo,"Next to The Bishop's School, Kalyani Nagar, Pune, Maharashtra",Restaurants,73.905888,18.553286
The Break Veg Restaurant,"691, A10, Cornet House, Pune-Satara Road, Pune, Maharashtra 411037",Restaurants,73.8578549,18.4844408
AaoJi KhhaoJi,"Shop 31, Raghukul Nagari, Opposite Patil Complex, Ambedkar Chowk, Bopodi, Aundh Road, Pune, Maharashtra 411020",Restaurants,73.8293053,18.5628636
Greenfield,"Plot No. 3, Survey No 206, Near Bishops School, Pune Nagar Road, Ramwadi, Kalyani Nagar, Pune, Maharashtra 411006",Restaurants,73.9057759,18.5536175
Mughals,"24/32, East Street, Hulshur, Camp, Pune, Maharashtra 411001",Restaurants,73.8795779,18.5158879
Bay Leaf Restaurant,"Opp. Mrutyunjay Mandir, Mayur Colony, Kothrud, Pune, Maharashtra 411038",Restaurants,73.818373,18.503082
Coconut Grove Resto-Bar,"408/B, Akshaya Guestline, Ambedkar Bhavan, Mangalwar Peth, Camp Area, Camp Cantonment, Pune, 411001",Restaurants,73.867139,18.5254322
The Northern Frontier,"1-5, Uttam Tower, Opposite Aga Khan Palace, Pune Nagar Rd, Shastrinagar, Yerawada, Pune, Maharashtra 411006",Restaurants,73.8998952,18.5534659
Siya,"Shop No. 1, Chintamani Pride, Survey No. 12, H. No. 7 & 8, Kothrud, Near City Pride Multiplex, Pune, Maharashtra 411029",Restaurants,73.8193632,18.499024
Zeera,"7, Mangaldas Rd, Sangamvadi, Pune, Maharashtra 411001",Restaurants,73.8832574,18.5351065
"MAROO, Korean Restaurant","Shop No. 1 A Wing Laxmi Palace, Aundh, Pune, Maharashtra 411007",Restaurants,73.809327,18.56494
Shalom Fast Food Corner,"Airport Tingre nagar road, road no.9, Landmark Petrol Pump, Vishrantwadi, Pune, Maharashtra 411032",Restaurants,73.893005,18.574653
Green Sampan Restaurant,"Jabhulkar Chowk, Vitthal Rao Shivarkar Rd, Wanwadi, Pune, Maharashtra 411040",Restaurants,73.8998791,18.4944689
Sahara Family Restaurant & Bar,"No.5, Lalwani Prestige, Pune Nagar Road, Viman Nagar Chowk, Kharadi, Pune, Maharashtra 411014",Restaurants,73.9183837,18.5605297
Agatya Restaurant,"Near Dhanori Jakat Naka, Porwal Road, Lohegaon, Pune, Maharashtra 411047",Restaurants,73.909205,18.599121
Badshahi Restaurant,"1648, Lokmanya Bal Gangadhar Tilak Rd, Ramashram Society, Lokamanya Nagar, Limayewadi, Sadashiv Peth, Pune, Maharashtra 411030",Restaurants,73.848899,18.508702
Tien,"1, Rajas garden, Opposite Hanuman Temple , Model Colony, Pune, Maharashtra 411016",Restaurants,73.832405,18.530183
Mainland China,"Amanora Town Centre, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",Restaurants,73.9354905,18.5185878
Kalyani Veg Restaurant,"5, Central Ave, Princeton Town Society, Nilanjali Society, Kalyani Nagar, Pune, Maharashtra 411006",Restaurants,73.9058379,18.5458167
Apyayan,"Shop no 23, 24 Lokmangal Vihar, DP Rd, Aundh, Pune, Maharashtra 411007",Restaurants,73.8029816,18.561877
Hotel Bhairavee,"S.No. 263/2/1, Baner Road, Near Green Park, Varsha park, Baner, Pune, Maharashtra 411045",Restaurants,73.8032899,18.552222
Garden Gate Hotel,"Near Simply City Society,Handewadi Rd, Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028",Restaurants,73.9340577,18.4647813
Incognito,"Panchshil Business Park, Baner Balewadi Road, Balewadi, Baner, Pune, Maharashtra 411045",Restaurants,73.7745023,18.5701074
M The World Cuisine Restaurant,"Cocoon Hotel, Magarpatta Rear Approach, Magarpatta City, Hadapsar, Pune, Maharashtra 411028",Restaurants,73.9284235,18.5091387
Chula,"Narayan Tower, Narayan Annaji Shinde Road, Behind Salunke Vihar Telephone Exchange, Near NIBM Road, Pune, Maharashtra 411048",Restaurants,73.9015128,18.4785849
Hotel Rajwada,"S.No. 15 A, Kale Park, Baner Road, Pune, Maharashtra 411008",Restaurants,73.8044465,18.5493786
Delhi Down Town,"3rd Floor, Chinar Height, Model Colony, Deep Bunglow Chowk, Shivajinagar, Pune, Maharashtra 411016",Restaurants,73.8357103,18.5297119
IDDOS,"5, Rambaug, Anu Datt, Paud Rd, Mahaganesh Colony, Kothrud, Pune, Maharashtra 411038",Restaurants,73.8163997,18.5104591
